"id"	"name"	"level"	"grade"	"mates"	"shield"	"slow"	"stun"	"mshield"	"docking"	"regen"	"damageb"	"speedb"	"sky"	"blink"	"boss"	"ignore"	"single"	"last"	"life"	"rangenlpd"	"rangetlpd"	"sstun"	"rangellpd"	"armorbreak"	"udelete"	"berserk"	"splash"	"bombup"	"재료"	"최하위합"	"깊이"
"1"	"루피"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"2"	"조로"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"3"	"나미"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"4"	"우솝"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"5"	"상디"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"6"	"쵸파"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"7"	"칼병"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"8"	"총병"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"9"	"버기"	"1"	"흔함"	""	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	""	"0"	"0"
"12"	"블루노"	"2"	"안흔함"	"8"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"총병x2"	"2"	"1"
"13"	"브룩"	"2"	"안흔함"	"2,6"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"조로x1 + 쵸파x1"	"2"	"1"
"14"	"이나즈마"	"2"	"안흔함"	"5,2"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"상디x1 + 조로x1"	"2"	"1"
"20"	"하찌"	"2"	"안흔함"	"8,3"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"총병x1 + 나미x1"	"2"	"1"
"22"	"프랑키"	"2"	"안흔함"	"4,1"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"우솝x1 + 루피x1"	"2"	"1"
"23"	"로빈"	"2"	"안흔함"	"3,5"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"상디x1 + 나미x1"	"2"	"1"
"24"	"저격왕"	"2"	"안흔함"	"4"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"우솝x2"	"2"	"1"
"25"	"에이스"	"2"	"안흔함"	"1,8"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"총병x1 + 루피x1"	"2"	"1"
